Band,MJD,Flux,Error,Telescope
W1,58251.6563,2.970215,0.062093614,UVOT
U,58251.65697,2.0964355,0.05197773,UVOT
B,58251.65744,1.17545,0.031377584,UVOT
W2,58251.65855,4.097269,0.0676866,UVOT
HX,58251.6587,1.03225,0.081921,XRT
SX,58251.6587,0.579916,0.061573,XRT
V,58251.65965,0.9662084,0.034143205,UVOT
M2,58251.66074,3.5544667,0.067190783,UVOT
W1,58252.45247,2.8292005,0.05744162,UVOT
U,58252.45321,2.0285304,0.048362654,UVOT
B,58252.45372,1.2071314,0.030549895,UVOT
W2,58252.45494,4.039084,0.0647389,UVOT
HX,58252.45501,0.994333,0.076852,XRT
SX,58252.45501,0.5824,0.058971,XRT
V,58252.45615,0.9983268,0.033217604,UVOT
W1,58253.85852,2.8864694,0.0569639,UVOT
U,58253.8593,2.0113397,0.04719404,UVOT
B,58253.85985,1.1908594,0.030204798,UVOT
HX,58253.86115,1.072504,0.077501,XRT
SX,58253.86115,0.522117,0.053389,XRT
W2,58253.86115,4.0712835,0.063579876,UVOT
V,58253.86244,0.9589104,0.03252953,UVOT
M2,58253.86355,3.468389,0.06693105,UVOT
W1,58254.57953,2.8887435,0.058294766,UVOT
U,58254.58027,2.0381188,0.048538884,UVOT
B,58254.58078,1.1577605,0.02962176,UVOT
W2,58254.582,4.172667,0.066233916,UVOT
HX,58254.58209,1.126293,0.086643,XRT
SX,58254.58209,0.455282,0.055098,XRT
V,58254.58321,1.00760075,0.033370973,UVOT
M2,58254.58434,3.4212728,0.065132916,UVOT
W1,58255.51521,2.8022222,0.06255777,UVOT
U,58255.51582,1.9975495,0.05278543,UVOT
B,58255.51624,1.1551682,0.033313,UVOT
HX,58255.51734,0.884479,0.061848,XRT
SX,58255.51734,0.510862,0.047245,XRT
V,58255.5182,1.0359504,0.03867211,UVOT
W1,58256.11001,2.863463,0.05234568,UVOT
U,58256.11096,2.0276185,0.0436159,UVOT
B,58256.11162,1.2055772,0.027360549,UVOT
W2,58256.11319,4.1004076,0.06000514,UVOT
HX,58256.11322,1.010857,0.079334,XRT
SX,58256.11322,0.531898,0.057404,XRT
V,58256.11475,0.9868109,0.029988617,UVOT
M2,58256.11611,3.5724323,0.062878766,UVOT
W1,58257.04285,2.8600284,0.053446837,UVOT
U,58257.04375,2.0011487,0.04441078,UVOT
B,58257.04437,1.1950258,0.028578836,UVOT
HX,58257.04564,0.929456,0.063051,XRT
SX,58257.04564,0.54628,0.048321,XRT
W2,58257.04587,4.1861503,0.06208392,UVOT
V,58257.04735,0.9611361,0.030442438,UVOT
M2,58257.04838,3.52647,0.07137763,UVOT
W1,58263.76638,3.1525784,0.061335535,UVOT
U,58263.76715,1.9428796,0.0468658,UVOT
B,58263.76767,1.19009256,0.031147606,UVOT
HX,58263.7689,1.305976,0.096099,XRT
SX,58263.7689,0.754014,0.073321,XRT
W2,58263.76893,4.442771,0.068675986,UVOT
V,58263.77018,0.9934144,0.033810697,UVOT
M2,58263.77123,3.8334943,0.073183234,UVOT
W1,58264.8912,3.2326087,0.058323015,UVOT
U,58264.89211,2.22658,0.0487891,UVOT
B,58264.89274,1.230991,0.029170412,UVOT
HX,58264.89412,1.273978,0.079378,XRT
SX,58264.89412,0.637081,0.056225,XRT
W2,58264.89426,4.8036475,0.06886908,UVOT
V,58264.89576,1.0403542,0.031302444,UVOT
M2,58264.89689,3.936987,0.07364495,UVOT
B,58265.75162,1.2138266,0.03138878,UVOT
HX,58265.75289,1.434658,0.101417,XRT
SX,58265.75289,0.819849,0.076906,XRT
V,58265.75414,0.9882354,0.033677233,UVOT
W1,58266.08143,3.144985,0.058650255,UVOT
U,58266.08229,2.1592854,0.04876022,UVOT
B,58266.08288,1.23138685,0.03020965,UVOT
W2,58266.0843,4.8326428,0.070645894,UVOT
HX,58266.08438,1.295838,0.086488,XRT
SX,58266.08438,0.732627,0.065037,XRT
V,58266.08571,1.0191785,0.032675704,UVOT
M2,58266.087,3.9309532,0.068734627,UVOT
W1,58267.4752,3.1731704,0.059463735,UVOT
U,58267.47604,2.1104285,0.04853148,UVOT
B,58267.47661,1.30374845,0.03195571,UVOT
HX,58267.4778,1.106723,0.077728,XRT
SX,58267.4778,0.606165,0.057632,XRT
W2,58267.47798,4.824657,0.07130763,UVOT
V,58267.47933,0.9698284,0.031976351,UVOT
M2,58267.48033,3.9047294,0.07706168,UVOT
W1,58268.80508,3.1687286,0.058220783,UVOT
U,58268.80596,2.1606401,0.048039225,UVOT
B,58268.80656,1.2799111,0.030182336,UVOT
HX,58268.80801,1.089825,0.075102,XRT
SX,58268.80801,0.655648,0.058276,XRT
W2,58268.80802,4.8573196,0.070310956,UVOT
V,58268.80946,1.0209357,0.031361792,UVOT
M2,58268.81068,3.972031,0.071111433,UVOT
W2,58269.73502,4.4802923,0.066533183,UVOT
HX,58269.73508,0.996565,0.06018,XRT
SX,58269.73508,0.546071,0.044608,XRT
V,58269.73643,1.058388,0.032469695,UVOT
M2,58269.7377,3.692834,0.06595674,UVOT
W1,58270.73513,3.0949154,0.055316487,UVOT
U,58270.7361,2.2032518,0.046962704,UVOT
B,58270.73676,1.2832065,0.02890177,UVOT
HX,58270.73827,1.233602,0.076984,XRT
SX,58270.73827,0.647986,0.055816,XRT
W2,58270.73835,4.6264147,0.065883467,UVOT
V,58270.73993,1.01891524,0.029947189,UVOT
M2,58270.74121,3.862457,0.068900773,UVOT
W1,58271.72384,3.137087,0.056902694,UVOT
U,58271.72476,2.1990497,0.047960737,UVOT
B,58271.72539,1.2605634,0.029330414,UVOT
HX,58271.72676,1.033643,0.071659,XRT
SX,58271.72676,0.575413,0.053523,XRT
W2,58271.72691,4.608484,0.066625944,UVOT
V,58271.72841,1.0189896,0.030739845,UVOT
M2,58271.72954,3.7766492,0.07170836,UVOT
W1,58272.65914,3.101792,0.063264287,UVOT
U,58272.65983,2.1645426,0.053117944,UVOT
B,58272.66031,1.26333575,0.033227062,UVOT
HX,58272.66115,1.029728,0.085041,XRT
SX,58272.66115,0.522054,0.060759,XRT
W2,58272.66145,4.6547683,0.073684645,UVOT
V,58272.66258,1.0231727,0.035094078,UVOT
M2,58272.66325,3.9618628,0.09585941,UVOT
W1,58274.91084,3.285909,0.061322967,UVOT
U,58274.91167,2.1514701,0.04869843,UVOT
B,58274.91224,1.2790778,0.03052578,UVOT
W2,58274.9136,4.877885,0.07211694,UVOT
HX,58274.91368,1.014571,0.057736,XRT
SX,58274.91368,0.491037,0.04019,XRT
V,58274.91496,1.0578346,0.032909697,UVOT
M2,58274.9162,4.127733,0.07220665,UVOT
U,58275.92527,2.2478106,0.051867046,UVOT
B,58275.92582,1.3174644,0.03243576,UVOT
HX,58275.92712,0.944613,0.072403,XRT
SX,58275.92712,0.550818,0.055222,XRT
W2,58275.92712,4.954919,0.0741802,UVOT
V,58275.92841,1.0841437,0.035064538,UVOT
W1,58276.57085,3.3275855,0.06043547,UVOT
U,58276.57173,2.2474576,0.04938508,UVOT
B,58276.57234,1.3166947,0.0302733,UVOT
W2,58276.57379,5.1773808,0.07412576,UVOT
HX,58276.57387,0.912113,0.06096,XRT
SX,58276.57387,0.466783,0.043574,XRT
V,58276.57524,1.0392852,0.031581388,UVOT
M2,58276.57656,4.158398,0.07103594,UVOT
HX,58277.56979,0.858729,0.053043,XRT
SX,58277.56979,0.383474,0.035454,XRT
W1,58278.56167,3.3838204,0.057473785,UVOT
U,58278.56271,2.277885,0.046767045,UVOT
B,58278.56342,1.3441047,0.028565744,UVOT
HX,58278.56506,1.007225,0.065406,XRT
SX,58278.56506,0.435291,0.042806,XRT
W2,58278.56514,5.184643,0.07073819,UVOT
V,58278.56683,1.0630866,0.029552326,UVOT
